"Алатырь","П 1,2,3,4,5","Горьковская",247600,"Красный Узел-127, Канаш-114",,
"Албаба","Б 3","Горьковская",249108,"Свияжск-27, Ульяновск-Центральный-175",,
"Албаши","П 1,3,4","Северо-Кавказская",515804,"Ейск-25, Тимашевская-82",,
"Алгаин (рзд.)","О ","Западно-Сибирская",865943,"Новокузнецк-Восточный-122",,
"Алгашет","Б ","Восточно-Сибирская",920820,"Тайшет-81, Иркутск-Пассажирский-589",,
"Алдан","П 3,5,6,8","""ОАО АК """"Железные дороги Якутии""""""",914001,"Нерюнгри-Грузовая-287","ЖДЯ до станции Нерюнгри-Пасажирская (Д-Восточной ж.д.)- 287 км",
"Алдарово (ОП.)","О ","Куйбышевская",656829,,,
"Алды","О 1,2,3,5","Северо-Кавказская",540905,"Гудермес-41",,
"Алебастрово (ОП.)","О ","Свердловская",765533,,,
"Алейская","П 1,2,3,5,10Н","Западно-Сибирская",844307,"Барнаул-124, Локоть-182",,
"Александрино","О ","Московская",173939,"Вязьма-37, Осуга-59",,
"Александров","П 1,3,8Н,10Н","Московская",237007,"ТП",,
"Александров II","О ","Московская",237011,"Александров-3, Бельково-16",,
"Александров Гай","П 3","Приволжская",626909,"Красный Кут-151",,
"Александровка (ОП.)","О ","Красноярская",880214,,,
"Александровка (ОП.)","О ","Московская",221210,,,
"Александровка (ПП.)","О ","Приволжская",620828,"Саратов II-Товарный-17, Петров Вал-184",,
"Александровка","О ","Северо-Кавказская",513541,"Горная-66, Кизитеринка-18",,
"Александровка (ОП.)","О ","Забайкальская",942618,,,
"Александровская","Б 1,3","Октябрьская",34806,"Шоссейная-11, Гатчина-Варшавская-23",,
"АлександровскаяФинляндская (ОП.)","О ","Октябрьская",39025,,,
"Александровский (рзд.)","О 3","Северо-Кавказская",515509,"Ейск-53, Ейск-13",,
"Александро-Невская","Б 1,3","Юго-Восточная",604007,"Богоявленск-26, Ряжск I-27",,
"Алексеевка","П 1,3,4,5,8Н,10Н,11Н,12Н","Юго-Восточная",581407,"Валуйки-78, Лиски-85",,
"Алексеевская","О 3","Куйбышевская",657502,"Безымянка-19, Кинель-11",,
"Алексиково","П 1,3","Приволжская",612906,"Иловля I-247, Поворино-27",,
"Алексин","Б 1,2,3,4","Московская",211401,"Муратовка-85, Плеханово-56",,
"Аленевка (ОП.)","Б ","Юго-Восточная",608328,,,
"Алеур","О ","Забайкальская",949119,"Бамовская-680, Карымская-301",,
"Алешево (ОП.)","О ","Горьковская",248158,,,
"Алешинка","О 1","Октябрьская",53101,"Бологое-Московское-22, Окуловка-48",,
"Алешино (ОП.)","О ","Горьковская",261612,,,
"Алзамай","П 3,4","Восточно-Сибирская",920708,"Тайшет-71, Иркутск-Пассажирский-599",,
"Алисово","О ","Юго-Восточная",595221,"Старый Оскол-43, Касторная-Курская-28",,
"Алкино","Б ","Куйбышевская",651648,"Чишмы-13, Дема-24",,
"Аллагуват","Б 3,8Н,10Н,11Н,12Н","Куйбышевская",652808,"Карламан-117, Сакмарская-202",,
"Алмало (ОП.)","О ","Северо-Кавказская",542915,,,
"Алнаши","О 3","Горьковская",255109,"Агрыз-59, Акбаш-242",,
"Алонка","Б 1,3","Дальневосточная",916905,"Тында-900, Новый Ургал-51",,
"Алонский (ОП.)","О ","Западно-Сибирская",832422,,,
"Алпатово","Б 3","Северо-Кавказская",539607,"Прохладная-100, Червленная-Узловая-66",,
"Алпатьево","Б 1","Московская",234507,"Воскресенск-69, Рыбное-22",,
"Алтай (ОП.)","О ","Западно-Сибирская",844557,,,
"Алтайсельмаш (ОП.)","О ","Западно-Сибирская",843412,,,
"Алтайская","П 1,3","Западно-Сибирская",840005,"ТП",,
"Алтайская Площадка (ОП.)","О ","Западно-Сибирская",840013,,,
"Алтата","Б 1,3","Приволжская",628209,"Ершов-41, Озинки-93",,
"Алтуховка (ОП.)","О ","Куйбышевская",659014,,,
"Алтухово","Б 3","Московская",203903,"Навля-19, Суземка-58",,
"Алтынай","О ","Свердловская",784731,"Егоршино-34, Богданович-36",,
"Алтын-Таш (ОП.)","О ","Южно-Уральская",805552,,,
"Алтышево","Б ","Горьковская",247704,"Красный Узел-137, Канаш-104",,
"Алферово","О 3","Горьковская",243205,"Нечаевская-39, Муром I-52",,
"Алферово (ОП.)","Б ","Московская",173522,,,
"Алфимово (ОП.)","О ","Октябрьская",52217,,,
